cave_id,name,inventory_number,latitude,longitude,pgi_id,pgi_name,pgi_latitude,pgi_longitude,lat_diff,lon_diff,distance_m,lat_abs_diff,lon_abs_diff
415,Schronisko w Lorencowych Skałkach,P-02.07,49.42221388869815,20.16302777820163,415,Schronisko w Lorencowych Skałkach,49.422213936980455,20.163027719567015,-4.8282302600455296e-08,5.8634615385244615e-08,0.0068417765902166775,4.8282302600455296e-08,5.8634615385244615e-08
416,Schronisko w Borsukowej Skale I,P-02.08,49.41986666679382,20.16991388877233,416,Schronisko w Borsukowej Skale I,49.41986663701572,20.16991387110056,2.977809998583325e-08,1.767176982525598e-08,0.0035493413649086984,2.977809998583325e-08,1.767176982525598e-08
417,Schronisko w Borsukowej Skale II,P-02.09,49.419883333312136,20.170033333301546,417,Schronisko w Borsukowej Skale II,49.419883334445515,20.170033299866898,-1.1333796123835782e-09,3.3434648827324054e-08,0.0024217262019243686,1.1333796123835782e-09,3.3434648827324054e-08
418,Schronisko w Borsukowej Skale III,P-02.10,49.41990000009537,20.170169444349078,418,Schronisko w Borsukowej Skale III,49.41990004280406,20.170169418257032,-4.270869169431535e-08,2.609204585724001e-08,0.00511027512663558,4.270869169431535e-08,2.609204585724001e-08
420,Schronisko w Dziurowej Skale,P-02.13,49.421069444550405,20.189952777756584,420,Schronisko w Dziurowej Skale,49.42106942026296,20.18995271442091,2.4287444944093295e-08,6.33356727064438e-08,0.005317956632325453,2.4287444944093295e-08,6.33356727064438e-08
421,Jaskinia w Dziurowej Skale,P-02.14,49.42111111111111,20.19043611102634,421,Jaskinia w Dziurowej Skale,49.42111114411738,20.190436069906152,-3.3006273270075326e-08,4.112018814339535e-08,0.004724010049779947,3.3006273270075326e-08,4.112018814339535e-08
422,Schronisko w Żorze,P-03.01,49.41833333333333,20.2275,422,Schronisko w Żorze,49.418333375559975,20.22750004137284,-4.222664529152098e-08,-4.137283937666325e-08,0.005568047038499537,4.222664529152098e-08,4.137283937666325e-08
423,Prosta Dziura,P-03.02,49.416666666666664,20.238611111111112,423,Prosta Dziura,49.41666668547765,20.238611180336175,-1.8810986546213826e-08,-6.922506301521025e-08,0.005426913913151427,1.8810986546213826e-08,6.922506301521025e-08
424,Krzywa Dziura,P-03.03,49.41638888888889,20.240555555555556,424,Krzywa Dziura,49.41638885635004,20.24055559859764,3.25388498367829e-08,-4.3042085451361345e-08,0.004773425131703524,3.25388498367829e-08,4.3042085451361345e-08
425,Schronisko przy Zielonej Drodze,P-03.04,49.420833333333334,20.244722222222222,425,Schronisko przy Zielonej Drodze,49.42083334901641,20.244722273845877,-1.568307794741486e-08,-5.162365468436292e-08,0.004121191300266742,1.568307794741486e-08,5.162365468436292e-08
