NR_INWENT,NAZWA,REGION,GMINA,WLASCICIEL,DLUGOSC,GLEBOKOSC,PRZEWYZSZE,DENIWELACJ,OSUWISKOWA,X_1992,Y_1992,ID,ROK_AKTUAL,lon,lat
J.Cz.III-06.06,Lej Szpatowców,Wyżyna Śląsko-Krakowska,Kroczyce (gm. wiejska),Prywatny,5.5,5.5,0.0,5.5,0,537717.2,300555.85,3587,2013,19.532777777589533,50.57083333322499
T.E-08.01,Jaskinia pod Zamkiem,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,123.0,0.0,10.8,10.8,0,562927.82,152598.5,1360,2013,19.864729987407966,49.2376579125561
T.D-05.03,Schron w Wyżniej Bramie Chochołowskiej,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,6.0,2.0,0.0,2.0,0,559289.67,153451.89,1099,2010,19.814867722983138,49.24569927221744
T.D-09.05,Żwirowa Dziura Wyżnia,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,9.5,0.0,0.0,0.0,0,563247.14,153828.47,1174,2010,19.869311672879917,49.24869090216544
T.D-16.12,Szczelina w Myślenickich Turniach Dolna,Tatry,Zakopane (gm. miejska),Skarb Państwa,2.8,0.0,0.0,0.0,0,570796.05,154253.08,1240,2010,19.973129233878332,49.25168370336754
J.Olk.I-09.28,Schronisko nad Nyżą,Wyżyna Śląsko-Krakowska,Krzeszowice (gm. miejsko-wiejska),Skarb Państwa (Lasy Państwowe),6.6,1.5,0.0,1.5,0,548462.49,256412.21,11087,2017,19.67886113432935,50.17294442403396
T.E-11.38,Korytarz nad Piargiem,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,16.0,0.0,7.3,7.3,0,565900.27,153028.98,1493,2010,19.90564183974372,49.241217913409336
T.D-17.07,Szczelina w Zawraciku Kasprowym II,Tatry,Zakopane (gm. miejska),Skarb Państwa,3.0,0.0,0.0,0.0,0,571530.51,154112.56,1252,2010,19.983198114561027,49.250334031329956
T.E-07.25,Jaskinia nad Prożkiem w Żlebie Na Spady,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,12.0,0.0,0.0,0.0,0,562136.85,153024.4,1322,2010,19.853928122199523,49.241570553629685
T.E-04.01,Dziura w Zawiesistej,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,5.5,1.0,0.0,1.0,0,558657.27,153137.28,1282,2010,19.80613094508194,49.24292968802664
T.E-09.05,Jaskinia nad Arkadą,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,21.0,0.0,8.0,8.0,0,563585.05,152504.94,1421,2010,19.873745443962594,49.236748210692035
T.D-08.31,Dziura w Organach VII,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,7.5,1.0,0.0,1.0,0,563042.24,153525.16,1120,2010,19.866448010194674,49.245983244026824
T.D-08.36,Szczelina przy Dziurawcu,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,16.0,0.0,6.0,6.0,0,562974.65,154153.13,1125,2010,19.865617905303868,49.25163995407929
T.E-07.10,Szczelina w Smytniej,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,7.0,0.0,2.4,2.4,0,561522.87,152390.41,1303,2010,19.845393979473936,49.235928627032926
T.D-06.07,Szczelina Zawaliskowa nad Kufą,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,6.0,0.0,3.4,3.4,0,561029.7,153499.92,1077,2010,19.838787084185817,49.24596025082898
T.D-08.34,Schron przed Sową III,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,4.5,0.0,0.0,0.0,0,562896.87,153919.16,1123,2010,19.86451214849883,49.249542954592236
T.E-08.57,Schron pod Tunelem,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,4.0,0.0,0.0,0.0,0,562310.47,153073.98,1433,2010,19.85632156376432,49.24199896129506
T.E-07.13,Jaskinia pod Kapliczką,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,8.5,0.5,2.4,3.0,0,561567.77,153132.74,1308,2013,19.846124979875032,49.242602823951955
T.D-05.06,Schronisko w Kalwarii,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,10.0,0.0,3.9,3.9,0,559571.1,154036.1,1170,2010,19.818822161323034,49.250928069026756
T.D-08.10,Okno Zbójnickie Wyżnie,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,13.6,9.0,0.0,9.0,0,562890.26,153829.02,1098,2010,19.864407145873983,49.248732653668945
T.E-08.48,Radkowa Dziura II,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,3.0,0.0,0.0,0.0,0,563080.83,152519.58,1420,2010,19.86681991334806,49.236932119151575
